time_s,vx_mean,vy_mean,vz_mean
0.00000046,-233.35602380,27.53208222,56989.88371224
0.00000047,-241.47850205,75.59426518,56788.50466390
0.00000048,-329.59426421,-10.68360849,56810.48235393
0.00000049,-331.33884590,-56.13273132,56653.60638010
0.00000050,-224.96832088,-63.83859715,56564.17035818
0.00000051,-282.73023954,-205.78588102,56621.72965839
0.00000052,-165.25128009,-347.42152633,56487.82786581
0.00000053,-225.46881064,-327.76042183,56284.03965710
0.00000054,-158.95773576,-373.70632070,56351.96764228
0.00000055,-85.90710414,-438.35170957,56327.32320449
0.00000056,-123.58532708,-462.24287180,56366.79422975
0.00000057,-82.22190489,-410.00922151,56262.80955211
0.00000058,-136.55801000,-309.15427095,56228.87592161
0.00000059,-123.52832570,-201.87046287,56230.94643726
0.00000060,-142.65033296,-143.66358311,56266.69865446
0.00000061,-221.37788240,-96.72496613,56381.77030280
0.00000062,-181.71455534,-50.70311024,56287.46849570
0.00000063,-269.08759269,-50.74376857,56357.43743113
0.00000064,-273.55078968,-58.42958419,56458.33766177
0.00000065,-267.49018378,17.66527393,56370.14004030
0.00000066,-337.03251533,-39.02571252,56246.67411594
0.00000067,-110.34831314,9.90997228,56282.98098418
0.00000068,-118.47747913,69.36148487,56349.10728939
0.00000069,-118.90540785,-13.39253089,56286.02281780
0.00000070,-101.33462606,56.90302115,56528.07007005
0.00000071,-25.63558396,53.30954674,56579.77953700
0.00000072,34.14599555,41.71529124,56666.49840098
0.00000073,63.87548636,48.05203228,56583.89876943
0.00000074,99.77940802,-27.12015085,56548.00473880
0.00000075,82.83008019,42.40473934,56486.28293727
0.00000076,-53.41516355,53.09097042,56465.73454346
0.00000077,-116.31847206,28.54544215,56454.54980061
0.00000078,-142.26922218,-65.31724733,56632.05127654
0.00000079,-233.64608886,9.31177534,56786.87462985
0.00000080,-271.43330224,74.77217294,56623.55616877
0.00000081,-324.77314486,51.43679652,56758.97057788
0.00000082,-265.72510449,76.03705385,56630.76247137
0.00000083,-258.32810857,-7.80899589,56746.62871772
0.00000084,-230.45899523,-20.09188592,56649.81700069
0.00000085,-334.11141554,-11.89046565,56654.87029532
0.00000086,-333.00453815,-5.48744808,56687.11987818
0.00000087,-299.98889340,-93.35597160,56561.93992907
0.00000088,-257.38519440,-93.89141233,56618.47870545
0.00000089,-313.25071586,-77.45299158,56575.89924116
0.00000090,-271.70918864,-13.71819169,56620.64267140
0.00000091,-365.61901839,22.80532663,56679.76968641
0.00000092,-317.08048458,-35.87573649,56558.61519408
0.00000093,-248.45836223,-16.58415122,56530.31604560
0.00000094,-286.15233506,12.31468514,56468.88342576
0.00000095,-252.57990300,-27.61112519,56517.57886120
0.00000096,-306.35003075,49.16627121,56414.17427171
0.00000097,-312.98160057,116.12856758,56335.98788030
0.00000098,-193.89273562,119.55117713,56231.06512966
0.00000099,-150.33425110,137.04438414,56134.96269662
0.00000100,-54.56090676,150.55314340,56295.45905266
0.00000101,-196.04931564,184.27553521,56184.79524327
0.00000102,-183.06523649,129.95845676,56270.59193806
0.00000103,-265.29671224,56.90832377,56357.49555248
0.00000104,-320.98511082,218.23702450,56355.30286069
0.00000105,-210.95302198,181.88022474,56390.90868619
0.00000106,-239.97554764,87.99984993,56331.59500966
0.00000107,-213.57716837,35.99596286,56305.26924019
0.00000108,-285.39516029,31.63954902,56158.81952371
0.00000109,-100.42992217,105.99655748,56039.76386165
0.00000110,-104.35264852,93.06626820,56176.79576554
0.00000111,-32.73959865,-57.41918899,56339.34509023
0.00000112,25.30833567,-42.08686615,56448.68617438
0.00000113,-79.95392430,-66.05845478,56341.16009821
0.00000114,-191.96434924,-129.09674189,56306.81013524
0.00000115,-52.86210999,-201.78151268,56228.00611374
0.00000116,-31.10173878,-173.50976534,56269.88304081
0.00000117,16.33062630,-153.05897834,56336.66597910
0.00000118,5.67432306,-147.80070454,56210.61262358
0.00000119,66.42815506,-168.52842663,56437.99084471
0.00000120,-35.46026458,-209.18689268,56366.60966857
0.00000121,0.07717563,-215.82889375,56246.20035496
0.00000122,-58.36499272,-271.08717726,56290.25069367
0.00000123,-105.87836346,-321.29176936,56337.86664193
0.00000124,-82.63959642,-249.55702434,56272.36657733
0.00000125,-69.81732237,-279.20171354,56296.51450819
0.00000126,107.17722567,-196.20045272,56252.64043219
0.00000127,140.05408135,-187.87012960,56409.12294233
0.00000128,117.91979313,-222.29054657,56416.43033491
0.00000129,23.59559772,-302.39097981,56501.44317559
0.00000130,50.32142955,-254.82729301,56698.02106859
0.00000131,13.21770485,-88.63653661,56831.93821749
0.00000132,-100.71072517,-136.01953305,56683.05890779
0.00000133,-71.07871707,49.74843405,56751.78985319
0.00000134,-33.06738549,-102.32822643,56566.46546210
0.00000135,75.04980470,-154.61059963,56500.35970327
0.00000136,26.18197605,-247.41673559,56536.09001283
0.00000137,66.96308532,-358.48231281,56521.86385866
0.00000138,102.14931206,-312.35827452,56428.29889016
0.00000139,131.89924858,-276.72993301,56343.42772466
0.00000140,131.43623922,-229.42829016,56300.03996469
0.00000141,100.24963731,-100.90827296,56601.26827919
0.00000142,171.58940634,-86.24901507,56654.02386513
0.00000143,237.29905792,-153.06727021,56609.24382848
0.00000144,229.40432849,-146.65951400,56598.23066742
0.00000145,112.62781784,-224.28542097,56605.06731501
0.00000146,52.82854139,-201.35518701,56447.49228047
0.00000147,34.81776536,-259.24452155,56456.33860545
0.00000148,21.91753814,-334.60389055,56458.17341655
0.00000149,36.14880584,-281.25188773,56669.77046153
0.00000150,66.42113030,-168.04739771,56669.32843184
0.00000151,89.82365678,-258.94434768,56758.59336172
0.00000152,172.00300346,-284.38162991,56775.28645423
0.00000153,95.29940657,-248.82687169,56679.38352941
0.00000154,152.50004202,-187.19483269,56552.78157230
0.00000155,31.85644103,-207.39846839,56479.11920452
0.00000156,130.07707439,-265.18291058,56403.24592540
0.00000157,184.40601623,-245.70684011,56362.59618099
0.00000158,235.80614785,-149.88982999,56241.68242278
0.00000159,131.24901830,-262.65808835,56117.19552487
0.00000160,39.26655469,-150.90095244,56048.49384549
0.00000161,-86.31799964,11.02944584,55957.15752189
0.00000162,-107.07117787,-60.28248187,56057.65619631
0.00000163,-87.78783015,-59.07236469,56127.28140627
0.00000164,-119.54975185,-14.02515856,56182.15454370
0.00000165,55.29321487,65.25667873,56206.72166800
0.00000166,58.96162900,-68.60943315,56150.78932191
0.00000167,15.72238599,46.74358155,56130.78543404
0.00000168,67.44934357,0.41866824,56290.93050156
0.00000169,216.37636558,58.78336112,56267.68683810
0.00000170,45.28091238,12.69479526,56193.58107615
0.00000171,-13.34386683,48.93179620,56379.79572058
0.00000172,17.44015735,172.51176183,56347.95505020
0.00000173,189.54240196,41.17236541,56315.74280709
0.00000174,255.76568714,151.02027707,56239.85041725
0.00000175,294.12389853,-11.73298307,56072.41280611
0.00000176,383.09656084,34.08600470,56035.07471094
0.00000177,400.72222415,-67.50395457,56064.66470525
0.00000178,331.49550160,69.50136556,56153.00243372
0.00000179,336.65514701,117.71013721,56216.02587411
0.00000180,417.38596897,188.30731012,56267.42609252
0.00000181,352.72006332,130.45851270,56324.29949168
0.00000182,316.10240987,163.83461065,56271.53726939
0.00000183,227.16886445,168.52036376,56109.62231350
0.00000184,136.49338626,175.19207971,56164.78221202
0.00000185,202.35431210,56.13904324,56201.65213156
0.00000186,230.43989288,-39.44201475,56251.64042479
0.00000187,198.55225887,-0.30278346,56466.93918202
