time_s,vx_mean,vy_mean,vz_mean
0.00000084,-34811.63189444,-51.22433419,24033.76613670
0.00000085,-34833.45150725,-93.80772621,24021.11092520
0.00000086,-34786.66148299,-113.13374201,23992.27967607
0.00000087,-34753.92482966,-83.96718764,23930.34835967
0.00000088,-34726.32196763,-54.27976575,23889.65684279
0.00000089,-34636.02700164,-26.68655491,23945.81492826
0.00000090,-34736.07833831,-30.40938818,23956.86920921
0.00000091,-34739.95824483,-68.06116496,23859.52705220
0.00000092,-34781.49753016,-99.84669781,23937.99579247
0.00000093,-34719.84039987,-41.56603689,23900.12591243
0.00000094,-34654.18721089,-20.25173703,23853.95481245
0.00000095,-34618.17629175,64.36354804,23798.31806163
0.00000096,-34545.27142846,69.87913223,23766.29919993
0.00000097,-34603.38430634,99.80243137,23815.21763246
0.00000098,-34658.77134285,137.09657000,23958.41869146
0.00000099,-34671.25009544,189.91598640,23926.36158692
0.00000100,-34654.39061483,150.86657631,23846.36304432
0.00000101,-34684.46505335,183.03150476,23843.38474000
0.00000102,-34690.53297228,142.02035572,23860.69890910
0.00000103,-34566.54931880,161.39710422,23864.86119863
0.00000104,-34702.91708786,92.18622426,23986.14022514
0.00000105,-34725.01485620,102.27147701,23933.92958584
0.00000106,-34688.15864074,19.00383360,23981.45366222
0.00000107,-34668.55370047,-2.29647597,23959.51488467
0.00000108,-34685.86286393,34.52911621,24002.08415422
0.00000109,-34822.94951011,14.14273658,23976.33189010
0.00000110,-34882.45584501,-57.98138199,23935.48135795
0.00000111,-34851.01206709,-122.70380852,23972.11767153
0.00000112,-34876.69931564,-133.83777046,23983.28605167
0.00000113,-34973.90906103,-153.83954654,23990.13685190
0.00000114,-35011.70671714,-147.75290401,23962.48186263
0.00000115,-35017.04832026,-160.85322624,23895.44997590
0.00000116,-34939.61082148,-137.72365546,23866.78637786
0.00000117,-34842.61462879,-164.35269759,23796.56984574
0.00000118,-34749.64080636,-98.95975297,23779.87737566
0.00000119,-34631.55302492,-125.01716529,23890.18655659
0.00000120,-34718.24376779,-50.48101851,23916.77894801
0.00000121,-34706.42849075,-53.18586370,23976.66326560
0.00000122,-34680.75536826,-46.12226041,23875.93873511
0.00000123,-34785.82342882,-62.98302019,23907.54209040
0.00000124,-34826.75527934,-12.16002130,24079.65692556
0.00000125,-34830.44837060,26.41628400,24144.18978680
0.00000126,-34837.87294604,31.44644408,24099.37660733
0.00000127,-34708.12049188,61.64476065,23907.15388665
0.00000128,-34707.07462100,-6.84084009,23906.42476860
0.00000129,-34752.12681363,46.52016362,24055.21406052
0.00000130,-34729.34027709,-20.39649210,24030.64405572
0.00000131,-34710.98396884,49.30605994,23994.28216370
0.00000132,-34709.89717230,34.63353011,23956.86559815
0.00000133,-34606.21654679,10.69276503,23939.85047607
0.00000134,-34595.86318073,-45.06986397,23951.49301973
0.00000135,-34677.44587958,-84.51714200,23921.59919702
0.00000136,-34669.49687526,-90.30457458,23912.19766247
0.00000137,-34773.38954906,-9.00163405,23993.93907319
0.00000138,-34732.15943833,-49.00887325,23976.35769364
0.00000139,-34703.65618444,-51.77604244,24024.63368646
0.00000140,-34611.67490112,6.33658581,23995.21453980
0.00000141,-34580.94287274,20.46321690,23978.81409305
0.00000142,-34485.68387264,18.08765772,23984.70141004
0.00000143,-34543.74857327,-21.53919826,23989.64335186
0.00000144,-34483.91319495,9.43640769,24077.27278177
0.00000145,-34281.36670842,-52.36461456,24029.44947863
0.00000146,-34376.70068546,-23.61422338,24018.05273842
0.00000147,-34327.86999840,6.75327782,23940.13525408
0.00000148,-34289.02238281,-24.44628046,23917.40997500
0.00000149,-34279.75520077,8.66243029,23930.18773298
0.00000150,-34295.76301407,-63.22028573,23921.75616981
0.00000151,-34329.86441281,-52.64124232,23966.32364939
0.00000152,-34285.37923860,-17.23204113,23990.03025797
0.00000153,-34358.24546023,-58.05386268,24056.66897925
0.00000154,-34399.50782266,-114.61327176,24075.89924752
0.00000155,-34465.19688207,-227.34996629,24171.19339294
0.00000156,-34529.13000214,-167.68313358,24200.35132324
0.00000157,-34637.04017711,-111.24380297,24282.04954979
0.00000158,-34786.44743401,-83.91638147,24306.03868485
