time_s,vx_mean,vy_mean,vz_mean
0.00000073,-34645.76453565,-93.78038779,24294.29205425
0.00000074,-34654.64995898,31.42688043,24200.24216274
0.00000075,-34783.31150246,33.67131884,24154.87933867
0.00000076,-34743.88060569,34.05872757,24041.95348827
0.00000077,-34860.54270535,24.25821150,24136.40405902
0.00000078,-34745.20647483,-12.81054245,24078.96060170
0.00000079,-34754.77035707,29.17437479,24069.56518205
0.00000080,-34848.70825853,40.88233038,24156.14258556
0.00000081,-34905.85129907,-10.95830477,24135.19463864
0.00000082,-34871.14149439,-50.39804848,24192.74618829
0.00000083,-34968.33661310,-71.92421202,24218.28448800
0.00000084,-34988.31762611,-104.20611881,24161.64825397
0.00000085,-35030.51918682,-166.25709852,24204.21248292
0.00000086,-34990.03464124,-174.10760581,24178.91217896
0.00000087,-34803.63110080,-114.15789976,24097.60442686
0.00000088,-34876.04661706,-132.97995986,24168.84073445
0.00000089,-34824.10774291,-132.42502512,24058.63902010
0.00000090,-34953.99186751,-171.33161079,24052.07497064
0.00000091,-34836.48551027,-130.44426448,24014.93496775
0.00000092,-34736.74378154,-134.68595431,23882.41958254
0.00000093,-34758.43802464,-101.08423829,23914.11228597
0.00000094,-34807.41106921,-66.97419966,23938.37122316
0.00000095,-34711.93402150,-83.16769299,23834.08653517
0.00000096,-34783.05120643,-116.32026448,23847.35741294
0.00000097,-34746.17505373,-25.66407218,23769.27215670
0.00000098,-34818.01897562,-68.24426758,23811.74472119
0.00000099,-34820.73453379,62.71527249,23749.39267004
0.00000100,-34731.66804654,100.50496196,23727.90624385
0.00000101,-34761.32049972,103.61283339,23746.30733009
0.00000102,-34752.38214879,75.24483257,23783.76449879
0.00000103,-34856.35750070,71.15879170,23881.79846841
0.00000104,-34889.59865656,38.39331819,23926.96226081
0.00000105,-34872.52115511,7.89850030,23822.99620380
0.00000106,-34775.06612687,71.58553529,23902.06841633
0.00000107,-34808.76184905,35.11807872,23956.06364903
0.00000108,-34716.97661487,3.75641884,24032.35678008
0.00000109,-34656.96114573,-12.86214562,23996.35964147
0.00000110,-34670.72211955,-61.21900852,23946.01795766
0.00000111,-34684.25973181,-65.82683986,23881.81492590
0.00000112,-34645.50975838,-75.54043578,23736.02412012
0.00000113,-34590.26301044,-48.33133210,23744.44329968
0.00000114,-34598.70259816,-21.77154225,23783.08144046
0.00000115,-34502.19079891,-29.69815204,23685.06898938
0.00000116,-34541.71613255,42.50972533,23774.53254422
0.00000117,-34630.35081522,82.60565050,23870.43046573
0.00000118,-34719.41999392,131.17761929,23865.54529669
0.00000119,-34747.31735890,114.02273498,23899.38015750
0.00000120,-34657.24133137,176.57514042,23848.29528595
0.00000121,-34685.69498148,234.97644210,23835.02772768
0.00000122,-34743.93291922,162.73236966,23935.16694133
0.00000123,-34789.27925420,154.45260346,23958.12714253
0.00000124,-34742.38309933,151.52547962,23940.66507979
0.00000125,-34716.24062027,152.92798961,23883.53496804
0.00000126,-34802.69707090,172.25761767,23971.53992820
0.00000127,-34691.81218318,202.93884989,23983.10641171
0.00000128,-34704.97908287,261.63679821,24033.95398967
0.00000129,-34695.86311124,283.72882646,23938.80897286
0.00000130,-34695.82103354,289.42128500,23936.11894770
0.00000131,-34706.60368015,265.10720019,23981.59072295
0.00000132,-34631.52884993,351.73868995,23940.80025233
0.00000133,-34612.51015453,406.83609245,23932.14335675
0.00000134,-34547.15608268,273.02159119,23847.30561365
0.00000135,-34501.28203726,119.13167145,23877.13670003
0.00000136,-34450.42442225,75.14214396,23849.80338447
0.00000137,-34434.27578832,41.93403444,23872.67204994
0.00000138,-34496.41938479,-50.49433856,23905.24357959
0.00000139,-34393.76796188,-76.74701121,23976.01146920
0.00000140,-34463.85458159,-69.50703486,23976.43336959
0.00000141,-34442.10163294,12.70760617,24006.17033153
0.00000142,-34515.23573158,72.02769293,24068.20221158
0.00000143,-34472.67835762,101.03856445,24013.37876250
0.00000144,-34457.74224812,68.34257094,24004.69258116
0.00000145,-34416.28540392,151.45298097,24022.41101079
